doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-6925722_V1,6/6/2020,6,62190,259,1,Life Sciences
10.13012/B2IDB-0065911_V1,6/3/2020,10,13792722281,360,2,Life Sciences
10.13012/B2IDB-9081595_V1,6/3/2020,40,4.60E+11,1390,0,Physical Sciences
10.13012/B2IDB-3573054_V1,6/2/2020,2,426008,197,1,Life Sciences
10.13012/B2IDB-6382488_V1,6/1/2020,1,36512,176,1,Life Sciences
10.13012/B2IDB-9059263_V1,5/31/2020,18,17981396277,742,1,Life Sciences
10.13012/B2IDB-4821336_V1,5/30/2020,1,3112035,128,1,Life Sciences
10.13012/B2IDB-5961181_V2,5/20/2020,2,564291,175,1,Social Sciences
10.13012/B2IDB-5961181_V1,5/18/2020,2,572686,0,1,Social Sciences
10.13012/B2IDB-8882752_V1,5/17/2020,15,7832442357,788,1,Social Sciences
10.13012/B2IDB-4520270_V1,5/15/2020,47,1.59E+11,1128,0,Social Sciences
10.13012/B2IDB-2603648_V1,5/15/2020,3,71958,313,3,Social Sciences
10.13012/B2IDB-4638196_V1,5/13/2020,3,384211849,233,0,Social Sciences
10.13012/B2IDB-7897650_V1,5/12/2020,227,44972143,2105,0,Physical Sciences
10.13012/B2IDB-5649852_V1,5/11/2020,6,20651724,350,0,Social Sciences
10.13012/B2IDB-0647142_V3,5/4/2020,13,2210296637,1608,4,Social Sciences
10.13012/B2IDB-3482175_V1,4/22/2020,4,483745,182,0,Life Sciences
10.13012/B2IDB-9891298_V1,4/22/2020,3,847258,197,1,Social Sciences
10.13012/B2IDB-1530066_V1,4/20/2020,5,1439049,244,0,Life Sciences
10.13012/B2IDB-9371397_V1,4/7/2020,2,231068,181,2,Life Sciences
10.13012/B2IDB-2680911_V1,4/6/2020,2,60879,221,1,Life Sciences
10.13012/B2IDB-7202559_V1,4/2/2020,2,114116,181,1,Life Sciences
10.13012/B2IDB-6100626_V1,3/14/2020,19,178185,824,2,Life Sciences
